Player,Span,Mat,Inns,Not  Outs,Runs,HS,Ave,BF,SR,100,50,Ducks,4s,6s,Boundary Runs,% Runs in Boundaries
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6s,Boundary Runs,% Runs in Boundaries
,,,,,,,,,,,,,,28,580,50.83260298
,,,,,,,,,,,,,,25,594,58.46456693
,,,,,,,,,,,,,,63,690,71.50259067
,,,,,,,,,,,,,,35,574,59.60539979
,,,,,,,,,,,,,,20,524,58.41694537
,,,,,,,,,,,,,,31,530,65.75682382
,,,,,,,,,,,,,,33,474,59.32415519
,,,,,,,,,,,,,,23,386,52.02156334
,,,,,,,,,,,,,,30,384,53.55648536
,,,,,,,,,,,,,,14,356,50.92989986
,,,,,,,,,,,,,,11,318,48.10892587
,,,,,,,,,,,,,,17,290,44.89164087
,,,,,,,,,,,,,,19,382,59.96860283
,,,,,,,,,,,,,,23,382,61.91247974
,,,,,,,,,,,,,,33,350,59.02192243
,,,,,,,,,,,,,,17,342,58.96551724
,,,,,,,,,,,,,,20,360,63.38028169
,,,,,,,,,,,,,,23,286,50.35211268
,,,,,,,,,,,,,,23,266,47.33096085
,,,,,,,,,,,,,,20,284,51.44927536
,,,,,,,,,,,,,,21,322,58.97435897
,,,,,,,,,,,,,,31,350,65.17690875
,,,,,,,,,,,,,,21,322,60.75471698
,,,,,,,,,,,,,,25,290,54.71698113
,,,,,,,,,,,,,,16,240,45.36862004
,,,,,,,,,,,,,,6,280,53.4351145
,,,,,,,,,,,,,,16,296,56.48854962
,,,,,,,,,,,,,,15,298,57.9766537
,,,,,,,,,,,,,,11,290,56.75146771
,,,,,,,,,,,,,,19,242,49.79423868
,,,,,,,,,,,,,,16,216,47.05882353
,,,,,,,,,,,,,,20,280,61.13537118
,,,,,,,,,,,,,,15,242,53.07017544
,,,,,,,,,,,,,,12,260,57.39514349
,,,,,,,,,,,,,,23,290,65.02242152
,,,,,,,,,,,,,,21,266,60.59225513
,,,,,,,,,,,,,,16,228,52.17391304
,,,,,,,,,,,,,,13,206,47.35632184
,,,,,,,,,,,,,,13,222,51.27020785
,,,,,,,,,,,,,,5,194,45.43325527
,,,,,,,,,,,,,,12,276,67.31707317
,,,,,,,,,,,,,,11,254,62.40786241
,,,,,,,,,,,,,,18,272,67.66169154
,,,,,,,,,,,,,,8,192,47.76119403
,,,,,,,,,,,,,,8,216,57.44680851
,,,,,,,,,,,,,,14,176,47.82608696
,,,,,,,,,,,,,,9,194,53.15068493
,,,,,,,,,,,,,,11,170,46.83195592
,,,,,,,,,,,,,,11,194,53.59116022
